listing_id,listing,host_id,host,neighbourhood_id,room_type,price_in_dollar
574105250645758899,Peaceful 1 Bedroom Apartment in Bondi Beach,109067745,Andrew,35,Entire home/apt,150.00
8925052,House in Central Sydney,43312353,Barry,32,Entire home/apt,120.00
11970913,Central and Sunny Room,37772146,Hannah,32,Private room,58.00
672903848532202580,Central&Spacious 3Bed Apt at Zetland | MHS,185126628,Evan,32,Entire home/apt,320.00
9012529,Balgowlah Beach House,22227415,Marnie,20,Entire home/apt,947.00
52704433,Space is everything,54924558,Hudson,8,Entire home/apt,201.00
18999835,3 Bedroom Apartment with Kitchen & Balcony,108189888,Twin Towers Inn,17,Private room,300.00
10103846,Clifton Road Clovelly,51850460,Craig,27,Entire home/apt,400.00
582106097096200272,Convenient home with high end finish at MQ Park,301753450,AirPillows,29,Entire home/apt,195.00
46434467,Tranquil place in great location,1739066,Anna,18,Entire home/apt,250.00
